序列号,GPS时间,经度,纬度,x,y,速度(km/h),航向,工作状态,幅宽(m),深度(mm),深度标准值
327,2022/10/25 17:54,131.473573,47.131643,5222016.527,460060.5567,3.66696,78.1,TRUE,5.3,399,300
328,2022/10/25 17:54,131.4736198,47.131649,5222017.17,460064.1118,4.38924,71.1,TRUE,5.3,400,300
329,2022/10/25 17:54,131.473676,47.13165967,5222018.328,460068.3836,3.704,92.7,TRUE,5.3,369,300
330,2022/10/25 17:54,131.4737388,47.13165317,5222017.573,460073.1433,2.94468,89.3,TRUE,5.3,379,300
331,2022/10/25 17:54,131.4737683,47.13165233,5222017.464,460075.3808,3.90772,89.2,TRUE,5.3,393,300
332,2022/10/25 17:54,131.4738395,47.13165117,5222017.299,460080.7818,3.5188,75.8,TRUE,5.3,346,300
333,2022/10/25 17:54,131.4738578,47.131643,5222016.382,460082.1641,0.33336,76.2,FALSE,5.3,0,300
334,2022/10/25 17:54,131.47385,47.1316395,5222015.996,460081.5697,0,0,FALSE,5.3,0,300
335,2022/10/25 17:54,131.473853,47.13163783,5222015.809,460081.7961,0,0,FALSE,5.3,0,300
336,2022/10/25 17:54,131.4738533,47.131632,5222015.161,460081.8145,0,0,FALSE,5.3,0,300
337,2022/10/25 17:54,131.473852,47.131628,5222014.717,460081.7128,0,0,FALSE,5.3,0,300
338,2022/10/25 17:54,131.4738507,47.13162583,5222014.476,460081.6126,0,0,FALSE,5.3,0,300
339,2022/10/25 17:55,131.4738503,47.13162383,5222014.254,460081.5807,0,0,FALSE,5.3,0,300
340,2022/10/25 17:55,131.4738507,47.13162133,5222013.976,460081.6092,0,0,FALSE,5.3,0,300
341,2022/10/25 17:55,131.4738498,47.1316185,5222013.662,460081.5388,0,0,FALSE,5.3,0,300
342,2022/10/25 17:55,131.4738468,47.13161567,5222013.349,460081.3091,0,0,FALSE,5.3,0,300
343,2022/10/25 17:55,131.4738462,47.13161383,5222013.145,460081.2622,0,0,FALSE,5.3,0,300
344,2022/10/25 17:55,131.4738457,47.1316135,5222013.108,460081.224,0,0,FALSE,5.3,0,300
345,2022/10/25 17:55,131.4738465,47.13161317,5222013.071,460081.2845,0,0,FALSE,5.3,0,300
346,2022/10/25 17:55,131.4738473,47.13161317,5222013.071,460081.3452,0,0,FALSE,5.3,0,300
347,2022/10/25 17:55,131.4738477,47.131613,5222013.052,460081.3754,0,0,FALSE,5.3,0,300
348,2022/10/25 17:55,131.4738478,47.13161267,5222013.015,460081.3827,0,0,FALSE,5.3,0,300
349,2022/10/25 17:55,131.473848,47.1316125,5222012.996,460081.3978,0,85.2,FALSE,5.3,0,300
350,2022/10/25 17:55,131.4738472,47.13161217,5222012.959,460081.3368,0,0,FALSE,5.3,0,300
351,2022/10/25 17:55,131.4738463,47.13161217,5222012.96,460081.2685,0,0,FALSE,5.3,0,300
352,2022/10/25 17:55,131.4738458,47.13161217,5222012.96,460081.2306,0,0,FALSE,5.3,0,300
353,2022/10/25 17:55,131.473845,47.1316115,5222012.886,460081.1694,0,0,FALSE,5.3,0,300
354,2022/10/25 17:56,131.4738443,47.13161117,5222012.85,460081.1161,0,0,FALSE,5.3,0,300
355,2022/10/25 17:56,131.4738443,47.13161117,5222012.85,460081.1161,0,0,FALSE,5.3,0,300
356,2022/10/25 17:56,131.4738438,47.13161133,5222012.868,460081.0782,0,0,FALSE,5.3,0,300
357,2022/10/25 17:56,131.4738442,47.13161117,5222012.85,460081.1085,0,0,FALSE,5.3,0,300
358,2022/10/25 17:56,131.4738442,47.13161083,5222012.812,460081.1082,0,0,FALSE,5.3,0,300
359,2022/10/25 17:56,131.4738445,47.13161067,5222012.794,460081.1309,0,0,FALSE,5.3,0,300
360,2022/10/25 17:56,131.4738448,47.13161067,5222012.794,460081.1536,0,0,FALSE,5.3,0,300
361,2022/10/25 17:56,131.4738455,47.13161067,5222012.794,460081.2067,0,0,FALSE,5.3,0,300
362,2022/10/25 17:56,131.473846,47.13161067,5222012.793,460081.2447,0,0,FALSE,5.3,0,300
